site_code,tower_id,regime,year,month,n_halfhours,coverage,sum_le,sum_netrad,sum_g,sum_h,mean_avail_wm2,ef_rn_g,ef_turbulent,closure,excluded,note
mead_ne,US-Ne1,irrigated_continuous_maize,2023,1,703,0.945,5739.7,4169.9,-3475.7,1171.2,10.9,0.7507,0.8333,0.9039,True,low_energy
mead_ne,US-Ne1,irrigated_continuous_maize,2023,2,540,0.804,13764.6,21808.1,-1170.0,5686.1,42.6,0.599,0.7052,0.8465,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,3,700,0.941,18026.3,48995.9,2273.3,23451.1,66.7,0.3858,0.4435,0.8877,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,4,611,0.849,18155.9,58092.1,-1327.0,38783.7,97.2,0.3056,0.3478,0.9583,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,5,659,0.886,14870.3,64434.2,1494.1,57481.1,95.5,0.2363,0.2418,1.1495,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,6,601,0.835,47123.1,62061.3,-3424.6,15323.7,109.0,0.7196,0.8297,0.9536,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,7,528,0.71,55448.0,64109.9,-1479.1,3693.3,124.2,0.8454,0.9568,0.9017,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,8,711,0.956,83452.0,97412.7,221.8,275.7,136.7,0.8586,0.997,0.8615,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,9,716,0.994,47956.4,78726.9,-314.2,20815.7,110.4,0.6067,0.6983,0.8701,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,10,732,0.984,18095.0,42602.2,-6912.5,27695.9,67.6,0.3654,0.3964,0.9248,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,11,717,0.996,8443.4,16734.5,-4977.0,10854.0,30.3,0.3889,0.4407,0.8888,False,
mead_ne,US-Ne1,irrigated_continuous_maize,2023,12,719,0.966,7343.3,8250.8,-3233.7,6465.2,16.0,0.6394,0.5272,1.2024,True,low_energy
