longitude,latitude,hrc_score,trend_score
-3.450015781,51.35023489,3.5904808,-0.02054448153
-3.350015324,51.35023489,3.6036785,-0.01673011239
-3.250014866,51.35023489,3.6811159,0.005349046331
-3.150014409,51.35023489,3.6811159,0.005349046331
-2.750012579,51.35023489,3.5978885,0.0266022961
-3.550016239,51.45023535,3.5497386,3.73E-04
-3.450015781,51.45023535,3.545825,-0.00403639525
-3.350015324,51.45023535,3.5292895,-0.008250918949
-3.250014866,51.45023535,3.5357,-0.004354909063
-3.150014409,51.45023535,3.5394154,-0.00210023712
-2.750012579,51.45023535,3.5613546,0.03543477841
-4.250019441,51.5502358,3.3689198,-0.07602337384
-4.150018983,51.5502358,3.5706036,-0.08836633831
-4.050018526,51.5502358,3.5914874,-0.09406842605
-3.950018068,51.5502358,3.4501638,-0.091050651
-3.750017154,51.5502358,3.3495383,-0.008174990786
-3.650016696,51.5502358,3.3625472,-0.001651324574
-3.550016239,51.5502358,3.4029536,0.008502334818
-3.450015781,51.5502358,3.3976781,0.006085477295
-3.350015324,51.5502358,3.396927,0.002803431726
-3.250014866,51.5502358,3.3552394,0.001045076434
-3.150014409,51.5502358,3.3196964,5.13E-04
-3.050013952,51.5502358,3.3646812,0.003803839794
-2.950013494,51.5502358,3.4932866,0.01317813261
-2.850013037,51.5502358,3.57396,0.02426777593
-2.750012579,51.5502358,3.5937119,0.02903228634
-5.0500231,51.65023626,3.2403958,-0.135446555
-4.950022643,51.65023626,3.369334,-0.1115808728
-4.850022185,51.65023626,3.4989645,-0.08653256474
-4.750021728,51.65023626,3.5322595,-0.06983355077
-4.65002127,51.65023626,3.5481956,-0.06210496494
-4.250019441,51.65023626,3.6210213,-0.08807189239
-4.150018983,51.65023626,3.5734892,-0.09255406427
-4.050018526,51.65023626,3.5618346,-0.1026142212
-3.950018068,51.65023626,3.4090328,-0.1259955926
-3.850017611,51.65023626,3.3085456,-0.1109824111
-3.750017154,51.65023626,3.30518,-0.02787734504
-3.650016696,51.65023626,3.319395,0.005703092158
-3.550016239,51.65023626,3.3461168,0.0209299362
-3.450015781,51.65023626,3.3079233,0.0193627928
-3.350015324,51.65023626,3.3021283,0.01407744696
-3.250014866,51.65023626,3.3372793,0.005259305366
-3.150014409,51.65023626,3.3999233,-0.002257353705
-3.050013952,51.65023626,3.4554937,-0.006156136772
-2.950013494,51.65023626,3.4606092,0.008686234362
-2.850013037,51.65023626,3.496494,0.01832115754
-2.750012579,51.65023626,3.533524,0.02463782807
-5.0500231,51.75023672,3.163243,-0.1386927589
-4.950022643,51.75023672,3.2346523,-0.112491604
-4.850022185,51.75023672,3.376737,-0.07225549422
-4.750021728,51.75023672,3.4500835,-0.05640659995
-4.65002127,51.75023672,3.4803462,-0.04687564717
-4.550020813,51.75023672,3.4743595,-0.04940038004
-4.450020356,51.75023672,3.4562154,-0.05817059366
-4.350019898,51.75023672,3.4359014,-0.06826654489
-4.250019441,51.75023672,3.4550567,-0.0782638999
-4.150018983,51.75023672,3.436619,-0.08309661927
-4.050018526,51.75023672,3.3752613,-0.08716148841
-3.950018068,51.75023672,3.3255177,-0.06988194784
-3.850017611,51.75023672,3.2441394,-0.05406273396
-3.750017154,51.75023672,3.1803124,-0.01036013963
-3.650016696,51.75023672,3.200731,0.006605223809
-3.550016239,51.75023672,3.2596476,0.01889987944
-3.450015781,51.75023672,3.2559555,0.02438114975
-3.350015324,51.75023672,3.2507367,0.02932744856
-3.250014866,51.75023672,3.2678666,0.01951183421
-3.150014409,51.75023672,3.3264477,0.01244900973
-3.050013952,51.75023672,3.3929553,0.007280983041
-2.950013494,51.75023672,3.4028938,0.009588040243
-2.850013037,51.75023672,3.4204645,0.01220823835
-2.750012579,51.75023672,3.464667,0.01664702142
-5.150023558,51.85023718,3.3581004,-0.1665140463
-5.0500231,51.85023718,3.3683062,-0.1456347248
-4.950022643,51.85023718,3.432239,-0.08962676352
-4.850022185,51.85023718,3.4685497,-0.062620948
-4.750021728,51.85023718,3.4976945,-0.04186070377
-4.65002127,51.85023718,3.4844313,-0.0331455633
-4.550020813,51.85023718,3.4680939,-0.02852741341
-4.450020356,51.85023718,3.4376352,-0.04141347969
-4.350019898,51.85023718,3.4235847,-0.04757736047
-4.250019441,51.85023718,3.4122314,-0.05199035004
-4.150018983,51.85023718,3.369208,-0.05803492012
-4.050018526,51.85023718,3.3214474,-0.05736170568
-3.950018068,51.85023718,3.245455,-0.03782998946
-3.850017611,51.85023718,3.216792,-0.01987694561
-3.750017154,51.85023718,3.177988,-0.00356146711
-3.650016696,51.85023718,3.1695662,0.003065464224
-3.550016239,51.85023718,3.1757727,0.00919819848
-3.450015781,51.85023718,3.1475196,0.01497865794
-3.350015324,51.85023718,3.1953516,0.02054688315
-3.250014866,51.85023718,3.2433379,0.02624617772
-3.150014409,51.85023718,3.303906,0.02394859015
-3.050013952,51.85023718,3.350822,0.01715682375
-2.950013494,51.85023718,3.370353,0.00498919952
-2.850013037,51.85023718,3.3988013,0.007400798095
-2.750012579,51.85023718,3.42871,0.01127311332
-4.950022643,51.95023763,3.4816027,-0.08369864336
-4.850022185,51.95023763,3.4924042,-0.06845021159
-4.750021728,51.95023763,3.5458794,-0.03770157246
-4.65002127,51.95023763,3.5617418,-0.03468801239
-4.550020813,51.95023763,3.519583,-0.03852561544
-4.450020356,51.95023763,3.4696248,-0.04882167205
-4.350019898,51.95023763,3.4544055,-0.04758690359
-4.250019441,51.95023763,3.4232638,-0.04474961426
-4.150018983,51.95023763,3.3743398,-0.0472015083
-4.050018526,51.95023763,3.481795,-0.05852043611
-3.950018068,51.95023763,3.4458086,-0.04573486256
-3.850017611,51.95023763,3.3793685,-0.02671231638
-3.750017154,51.95023763,3.3211582,-0.009292805649
-3.650016696,51.95023763,3.1036186,0.005346121752
-3.550016239,51.95023763,3.0933464,0.009351396918
-3.450015781,51.95023763,3.3099868,0.006881720373
-3.350015324,51.95023763,3.4424536,0.01388238481
-3.250014866,51.95023763,3.33768,0.0256303469
-3.150014409,51.95023763,3.3048618,0.02098720257
-3.050013952,51.95023763,3.315529,0.01737137193
-2.950013494,51.95023763,3.3568847,0.0089741022
-2.850013037,51.95023763,3.3779545,0.007413989963
-2.750012579,51.95023763,3.3891623,0.009139457919
-4.65002127,52.05023809,3.33252,-0.05402488777
-4.550020813,52.05023809,3.34112,-0.05276593068
-4.450020356,52.05023809,3.2723296,-0.05551440787
-4.350019898,52.05023809,3.324577,-0.05541507711
-4.250019441,52.05023809,3.384859,-0.04482508151
-4.150018983,52.05023809,3.3785505,-0.04062460957
-4.050018526,52.05023809,3.565761,-0.05457215194
-3.950018068,52.05023809,4.090254,-0.0862244266
-3.850017611,52.05023809,3.6699605,-0.04763242288
-3.750017154,52.05023809,3.4429898,-0.01377107488
-3.650016696,52.05023809,3.7542355,-0.001926725419
-3.550016239,52.05023809,3.378779,0.02092311029
-3.450015781,52.05023809,3.3529441,0.02675697862
-3.350015324,52.05023809,3.3857825,0.02326698422
-3.250014866,52.05023809,3.5555646,0.02668849071
-3.150014409,52.05023809,3.3048458,0.02321782773
-3.050013952,52.05023809,3.2473803,0.01899334598
