longitude,latitude,hrc_score,trend_score
-117.7505386,33.55015347,2.3977594,-0.02860920679
-117.6505382,33.55015347,2.4175754,-0.02722199708
-117.5505377,33.55015347,2.4032998,-0.04618584746
-117.9505395,33.65015392,2.1663399,-0.03473508271
-117.8505391,33.65015392,2.2467632,-0.03143027117
-117.7505386,33.65015392,2.302843,-0.03641016768
-117.6505382,33.65015392,2.4606678,-0.03482732856
-117.5505377,33.65015392,2.477905,-0.03554554062
-118.2505409,33.75015438,2.0881417,-0.02195679696
-118.1505405,33.75015438,2.3105693,-0.01413727143
-118.05054,33.75015438,2.234629,-0.01960730165
-117.9505395,33.75015438,2.0806866,-0.0281145156
-117.8505391,33.75015438,2.087562,-0.03204877926
-117.7505386,33.75015438,2.3856854,-0.0437221523
-117.6505382,33.75015438,2.5524585,-0.05298244586
-117.5505377,33.75015438,2.6203125,-0.0550794518
-118.3505414,33.85015484,2.2484598,-0.004400423415
-118.2505409,33.85015484,2.0416226,-0.01309276714
-118.1505405,33.85015484,2.016969,-0.01569648448
-118.05054,33.85015484,2.3792546,-0.02396733413
-117.9505395,33.85015484,2.4473865,-0.0323755869
-117.8505391,33.85015484,2.3869512,-0.0440381127
-117.7505386,33.85015484,2.488562,-0.06211711353
-117.6505382,33.85015484,2.5129375,-0.06861980196
-117.5505377,33.85015484,2.6363063,-0.05886006137
-118.3505414,33.9501553,2.095169,-0.009239954331
-118.2505409,33.9501553,1.9979161,-0.01167505999
-118.1505405,33.9501553,2.0529323,-0.01196094158
-118.05054,33.9501553,2.1593285,-0.0131325901
-117.9505395,33.9501553,2.4625902,-0.02738065881
-117.8505391,33.9501553,2.5464814,-0.04714458396
-117.7505386,33.9501553,2.4876804,-0.06219505913
-117.6505382,33.9501553,2.4737132,-0.05971014423
-117.5505377,33.9501553,2.5396326,-0.05192338622
-118.8505437,34.05015575,2.5460136,-0.04165064685
-118.7505432,34.05015575,2.4275377,-0.04579397711
-118.6505427,34.05015575,2.5893528,-0.0332841919
-118.5505423,34.05015575,2.5996044,-0.02470905478
-118.4505418,34.05015575,2.4715657,-0.01716804999
-118.3505414,34.05015575,2.4268353,-0.01522836681
-118.2505409,34.05015575,2.3923795,-0.02099263752
-118.1505405,34.05015575,2.4205387,-0.01337371273
-118.05054,34.05015575,2.3781786,-0.01487085174
-117.9505395,34.05015575,2.196762,-0.02607330584
-117.8505391,34.05015575,2.4015272,-0.03906267033
-117.7505386,34.05015575,2.4999137,-0.05095640601
-117.6505382,34.05015575,2.3830476,-0.04617883309
-117.5505377,34.05015575,2.2179608,-0.04055107743
-118.9505441,34.15015621,2.2995644,-0.05020122788
-118.8505437,34.15015621,2.3571079,-0.04524942917
-118.7505432,34.15015621,2.386262,-0.04241708997
-118.6505427,34.15015621,2.4190035,-0.03340209916
-118.5505423,34.15015621,2.4993587,-0.02314523537
-118.4505418,34.15015621,2.3945816,-0.01406667518
-118.3505414,34.15015621,2.0584924,-0.007362554381
-118.2505409,34.15015621,2.409586,-0.01893041789
-118.1505405,34.15015621,2.4750338,-0.006859786297
-118.05054,34.15015621,2.3280404,-0.003246370456
-117.9505395,34.15015621,2.2322607,-0.004766240425
-117.8505391,34.15015621,2.4737267,-0.01084083726
-117.7505386,34.15015621,2.4042497,-0.02251568377
-117.6505382,34.15015621,2.2429938,-0.02916315439
-117.5505377,34.15015621,2.3466623,-0.0230459552
-118.9505441,34.25015667,2.220603,-0.03836203484
-118.8505437,34.25015667,2.323997,-0.03256151351
-118.7505432,34.25015667,2.381812,-0.02515576086
-118.6505427,34.25015667,2.4136405,-0.0119677241
-118.5505423,34.25015667,2.4456656,-9.25E-04
-118.4505418,34.25015667,2.4520588,0.003281675232
-118.3505414,34.25015667,2.4100084,0.004558538884
-118.2505409,34.25015667,2.3752587,0.005685552871
-118.1505405,34.25015667,2.4302151,0.009341041311
-118.05054,34.25015667,2.1194744,0.009390815717
-117.9505395,34.25015667,1.8780473,0.007380724808
-117.8505391,34.25015667,2.182612,0.006496102514
-117.7505386,34.25015667,2.0493712,-0.01149357394
-117.6505382,34.25015667,2.0322356,-0.02591388248
-117.5505377,34.25015667,2.2557726,-0.01403645185
-118.9505441,34.35015713,2.2193136,-0.01649440301
-118.8505437,34.35015713,2.2819746,-0.009257077154
-118.7505432,34.35015713,2.3661523,-0.00225930301
-118.6505427,34.35015713,2.40526,0.009042713728
-118.5505423,34.35015713,2.4042735,0.01707922825
-118.4505418,34.35015713,2.3990343,0.02016889147
-118.3505414,34.35015713,2.382478,0.02643478882
-118.2505409,34.35015713,2.3055842,0.03204937459
-118.1505405,34.35015713,2.4304419,0.02445404609
-118.05054,34.35015713,2.3715029,0.02223374274
-117.9505395,34.35015713,2.3490558,0.0170888932
-117.8505391,34.35015713,2.323228,0.005873400352
-117.7505386,34.35015713,2.1583192,-0.006041929171
-117.6505382,34.35015713,1.9671779,-0.01327251546
-117.5505377,34.35015713,2.0471742,-0.0167612733
-118.9505441,34.45015758,2.066365,-0.02439941548
-118.8505437,34.45015758,2.2587914,-0.003193954358
-118.7505432,34.45015758,2.4274857,0.01525109561
-118.6505427,34.45015758,2.3567145,0.01319293944
-118.5505423,34.45015758,2.3583438,0.009616704688
-118.4505418,34.45015758,2.3075647,0.01467513357
-118.3505414,34.45015758,2.2935224,0.02212133792
-118.2505409,34.45015758,2.2789161,0.02619619231
-118.1505405,34.45015758,2.2829227,0.03107414707
-118.05054,34.45015758,2.268246,0.02943812887
-117.9505395,34.45015758,1.9362614,0.030601284
-117.8505391,34.45015758,1.9261198,0.02007130283
-117.7505386,34.45015758,1.9145243,0.004803290245
-117.6505382,34.45015758,1.9005973,-0.0126084014
-117.5505377,34.45015758,1.8144014,-0.02932360292
